メーカー名,製品名,用途,該当する界面活性剤,直鎖アルキルベンゼンスルホン酸ナトリウム,アルキルグリコシド,アルキルアミンオキシド,塩化ベンザルコニウム,塩化ベンゼトニウム,塩化ジアルキルジメチルアンモニウム,ポリオキシエチレンアルキルエーテル,純石けん分（脂肪酸カリウム）,純石けん分（脂肪酸ナトリウム）,価格
株式会社第一化学工業所,除菌消臭バスクリーナー弱アルカリ性,住宅用洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,1130
第一石鹸株式会社,ファンスおふろの洗剤 防カビ,浴室用,アルキルグリコシド,,◯,,,,,,,,121
第一石鹸株式会社,ファンスおふろの洗剤  （オレンジ ミント、グリーンハーブ）,浴室用,アルキルグリコシド,,◯,,,,,,,,121
第一石鹸株式会社,ルーキー泡おふろ洗剤,浴室用,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,102
第一石鹸株式会社,ルーキーＶおふろの洗剤,浴室用,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,952
第一石鹸株式会社,ルーキートイレの洗剤,トイレ用,アルキルグリコシド,,◯,,,,,,,,157
第一石鹸株式会社,ルーキーＶトイレの洗剤,トイレ用,直鎖アルキルベンゼンスルホン酸ナトリウム、アルキルグリコシド,◯,◯,,,,,,,,2940
第一石鹸株式会社,ファンストイレ用アルコール除菌クリーナー,トイレ用,アルキルグリコシド,,◯,,,,,,,,238
第一石鹸株式会社,ファンストイレの洗剤 除菌・消臭,トイレ用,アルキルグリコシド,,◯,,,,,,,,107
大日本除虫菊株式会社,水回り用ティンクル 防臭プラスW,流し台・洗面台まわり洗浄剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,227
大日本除虫菊株式会社,お風呂用ティンクル すすぎ節水タイプW,浴室用洗浄剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,298
大日本除虫菊株式会社,アミライト,アミ戸用合成洗剤,アルキルアミンオキシド,,,◯,,,,,,,374
大日本除虫菊株式会社,浄化槽サンポール,トイレ用合成洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,235
太陽油脂株式会社,パックスナチュロン お風呂洗いせっけん 本体・詰替,浴槽・住宅用,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,447
太陽油脂株式会社,パックスナチュロン トイレ洗い石けん,トイレ用,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,374
株式会社ダスキン,風呂・化粧室用洗剤,浴室用合成洗剤,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,330
株式会社ダスキン,トイレ用除菌・洗浄・消臭剤,トイレ用,塩化ベンザルコニウム,,,,◯,,,,,,352
