メーカー名,製品名,用途,該当する界面活性剤,直鎖アルキルベンゼンスルホン酸ナトリウム,アルキルグリコシド,アルキルアミンオキシド,塩化ベンザルコニウム,塩化ベンゼトニウム,塩化ジアルキルジメチルアンモニウム,ポリオキシエチレンアルキルエーテル,純石けん分（脂肪酸カリウム）,純石けん分（脂肪酸ナトリウム）,価格
ミツエイ株式会社,ハーバルフレッシュ （ライム、オレンジ）,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,106
ミツエイ株式会社,スマイルチョイス 食器洗い洗剤,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,1318
ミツエイ株式会社,ハーバルフレッシュコンパクト （ライム、オレンジ）,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウムポリオキシエチレンアルキルエーテル,◯,,,,,,◯,,,88
ミツエイ株式会社,ハーバルフレッシュ 重曹,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウムポリオキシエチレンアルキルエーテル,◯,,,,,,◯,,,103
ミマスクリーンケア株式会社,ミマスレモン,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,1236
ミヨシ石鹸株式会社,無添加 食器洗いせっけん（本体・詰替）,台所用合成洗剤等,純石けん分（脂肪酸カリウム）,,,,,,,,◯,,223
ミヨシ石鹸株式会社,無添加 台所用せっけん （固型）,台所用合成洗剤等,純石けん分（脂肪酸ナトリウム）,,,,,,,,,◯,1098
ミヨシ石鹸株式会社,白いふきん洗い （固型）,台所用合成洗剤等,純石けん分（脂肪酸ナトリウム）,,,,,,,,,◯,94
横浜油脂工業株式会社,ハマユーライト 18kg,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,4649
ライオン株式会社,チャーミー マジカ酵素＋ （フルーティオレンジの香り、 フレッシュグリーンアップルの香り 、フレッシュピンクベリーの香り）,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム、ポリオキシエチレンアルキルエーテル、アルキルアミンオキシド,◯,,◯,,,,◯,,,162
ライオン株式会社,チャーミー マジカ除菌＋ （フレッシュシトラスグリーンの香り、レモンピールの香り）,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム、ポリオキシエチレンアルキルエーテル、アルキルアミンオキシド,◯,,◯,,,,◯,,,150
ライオン株式会社,チャーミー マジカ速乾＋　カラッと除菌　（シトラスミントの香り、ホワイトローズの香り、クリアレモンの香り）,台所用合成洗剤等,アルキルアミンオキシド,,,◯,,,,,,,450
ライオン株式会社,チャーミー マジカ速乾＋  （シトラスミントの香り、ホワイトローズの香り）,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム、ポリオキシエチレンアルキルエーテル、アルキルアミンオキシド,◯,,◯,,,,◯,,,204
ライオン株式会社,チャーミー 泡のチカラ手肌プレミアム,台所用合成洗剤等,ポリオキシエチレンアルキルエーテルアルキルアミンオキシド,,,◯,,,,◯,,,192
ライオン株式会社,ママレモン,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,312
ライオン株式会社,チャーミーマイルド,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム、ポリオキシエチレンアルキルエーテル、アルキルアミンオキシド,◯,,◯,,,,◯,,,137
ライオン株式会社,業務用Magica除菌＋プロフェッショナル,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム、ポリオキシエチレンアルキルエーテル、アルキルアミンオキシド,◯,,◯,,,,◯,,,1097
ライオン株式会社,業務用ママレモン,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,1441
ライオン株式会社,業務用ライポンF 液体,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム、ポリオキシエチレンアルキルエーテル,◯,,,,,,◯,,,1245
ライオン株式会社,業務用ライポンF 粉末,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,3771
ライオン ハイジーン株式会社,セルシアコンクα,台所用合成洗剤等,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,5800
ライオン ハイジーン株式会社,セルシア速乾マイルド,台所用合成洗剤等,ポリオキシエチレンアルキルエーテル,,,,,,,◯,,,2780
ロケット石鹸株式会社,マイフレッシュ,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,78
ロケット石鹸株式会社,フレッシュ （オレンジオイル配合、弱酸性ピンクグレープフルーツ、フルーツ酸配合グリーンアップル）,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,97
ロケット石鹸株式会社,フルーツ酸フレッシュコンパクト,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,110
ロケット石鹸株式会社,エンジョイアワーズ台所用洗剤 （フルーツ、柑橘系）,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,96
ロケット石鹸株式会社,マイキッチンK 4L,台所用合成洗剤等,直鎖アルキルベンゼンスルホン酸ナトリウム,◯,,,,,,,,,2024
